IMG_ID,AUTHOR,LAT,LON,S3_Label,S16_Label,S365_Label,Prob_indoor,Prob_natural,Prob_urban,candidate_0_gps,candidate_1_gps,candidate_2_gps,candidate_3_gps,candidate_4_gps,candidate_5_gps,candidate_6_gps,candidate_7_gps,candidate_8_gps,candidate_9_gps,candidate_10_gps,candidate_11_gps,candidate_12_gps,candidate_13_gps,candidate_14_gps,candidate_15_gps,candidate_16_gps,candidate_17_gps,candidate_18_gps,candidate_19_gps,reverse_0_gps,reverse_1_gps,reverse_2_gps,reverse_3_gps,reverse_4_gps,reverse_5_gps,reverse_6_gps,reverse_7_gps,reverse_8_gps,reverse_9_gps,reverse_10_gps,reverse_11_gps,reverse_12_gps,reverse_13_gps,reverse_14_gps,reverse_15_gps,reverse_16_gps,reverse_17_gps,reverse_18_gps,reverse_19_gps
1052934673_018d08d79c_1247_89904893@N00.jpg,89904893@N00,51.210297,-2.643113,0,5,90,0.8642120234737831,0.0012839322071442,0.134503925180212,"[35.211181, -80.866577]","[30.03638, 31.23076]","[34.274382, 108.896312]","[41.017599, 28.971633]","[47.530067, -121.822586]","[37.971639, 23.725136]","[-33.844809, 151.242341]","[35.375846, -119.01889]","[42.5035, -83.1725]","[40.78353, -119.219678]","[41.411333, 2.211666]","[40.462335, -3.533115]","[40.471667, -3.719]","[44.712342, 81.160039]","[47.67743, -122.2455]","[47.373651, 6.504936]","[53.310156, -60.377881]","[-32.683597, 151.383533]","[43.522333, -5.7495]","[48.197971, 11.61033]","[35.211181, -80.866577]","[30.03638, 31.23076]","[34.274382, 108.896312]","[41.017599, 28.971633]","[47.530067, -121.822586]","[37.971639, 23.725136]","[-33.844809, 151.242341]","[35.375846, -119.01889]","[42.5035, -83.1725]","[40.78353, -119.219678]","[41.411333, 2.211666]","[40.462335, -3.533115]","[40.471667, -3.719]","[44.712342, 81.160039]","[47.67743, -122.2455]","[47.373651, 6.504936]","[53.310156, -60.377881]","[-32.683597, 151.383533]","[43.522333, -5.7495]","[48.197971, 11.61033]"
1054676623_3278c97053_1242_70323761@N00.jpg,70323761@N00,40.763169,-73.945257,2,15,143,0.0326892220104007,0.0041527964076131,0.9631581326108148,"[45.439793, 12.333848]","[41.902308, 12.457036]","[49.747826, 13.375576]","[34.40301, -119.743498]","[43.500254, 4.867973]","[44.966813, -93.282267]","[12.994062, 77.597465]","[35.38814, 138.720073]","[43.049987, -89.486721]","[43.368093, -8.39894]","[48.137998, 11.575319]","[23.485762, 120.721335]","[43.462252, 11.884277]","[57.652381, 11.825408]","[40.714298, -74.005997]","[25.072358, 121.515658]","[37.776256, -122.451835]","[46.984278, 8.603711]","[45.394713, 9.218816]","[51.072171, -115.408238]","[45.439793, 12.333848]","[41.902308, 12.457036]","[49.747826, 13.375576]","[34.40301, -119.743498]","[43.500254, 4.867973]","[44.966813, -93.282267]","[12.994062, 77.597465]","[35.38814, 138.720073]","[43.049987, -89.486721]","[43.368093, -8.39894]","[48.137998, 11.575319]","[23.485762, 120.721335]","[43.462252, 11.884277]","[57.652381, 11.825408]","[40.714298, -74.005997]","[25.072358, 121.515658]","[37.776256, -122.451835]","[46.984278, 8.603711]","[45.394713, 9.218816]","[51.072171, -115.408238]"
1055535547_d8ebd9b0ff_1005_52057668@N00.jpg,52057668@N00,43.345154,11.293945,2,11,12,0.3014461322748616,0.0493862587966305,0.6491674852948108,"[51.392263, -0.109884]","[37.745166, -122.415667]","[35.227251, -80.841586]","[52.036099, 4.173259]","[35.910881, -79.070159]","[50.638483, -2.102334]","[38.549578, -122.817041]","[36.517155, -82.249746]","[55.344988, -1.612012]","[29.424796, -98.495693]","[-33.880666, 151.216833]","[52.36615, 4.916049]","[44.134482, 9.684362]","[55.858743, -4.243297]","[35.694301, 139.743658]","[24.991873, 121.455852]","[40.443527, -79.995589]","[52.475095, 4.818749]","[52.02118, 0.220773]","[52.941868, 1.206731]","[51.392263, -0.109884]","[37.745166, -122.415667]","[35.227251, -80.841586]","[52.036099, 4.173259]","[35.910881, -79.070159]","[50.638483, -2.102334]","[38.549578, -122.817041]","[36.517155, -82.249746]","[55.344988, -1.612012]","[29.424796, -98.495693]","[-33.880666, 151.216833]","[52.36615, 4.916049]","[44.134482, 9.684362]","[55.858743, -4.243297]","[35.694301, 139.743658]","[24.991873, 121.455852]","[40.443527, -79.995589]","[52.475095, 4.818749]","[52.02118, 0.220773]","[52.941868, 1.206731]"
1055596489_76a46df552_1047_52057668@N00.jpg,52057668@N00,43.345154,11.293945,2,10,278,0.1483660260162764,0.0193844332048627,0.8322496132805384,"[50.888166, -1.312167]","[45.500521, -73.558291]","[-25.409913, -49.26733]","[40.416877, -3.703647]","[46.590248, 2.517757]","[44.843211, -73.084144]","[47.480799, 19.060957]","[12.918237, 100.856337]","[51.77045, 0.642549]","[-19.990919, 23.42283]","[41.325263, -1.792144]","[52.142391, 6.829097]","[53.075536, 8.802891]","[40.746635, -73.964027]","[63.422333, 10.263833]","[42.567821, 14.101559]","[43.644072, -79.336427]","[40.741728, -73.98926]","[38.909566, -77.049345]","[49.390725, -1.172747]","[50.888166, -1.312167]","[45.500521, -73.558291]","[-25.409913, -49.26733]","[40.416877, -3.703647]","[46.590248, 2.517757]","[44.843211, -73.084144]","[47.480799, 19.060957]","[12.918237, 100.856337]","[51.77045, 0.642549]","[-19.990919, 23.42283]","[41.325263, -1.792144]","[52.142391, 6.829097]","[53.075536, 8.802891]","[40.746635, -73.964027]","[63.422333, 10.263833]","[42.567821, 14.101559]","[43.644072, -79.336427]","[40.741728, -73.98926]","[38.909566, -77.049345]","[49.390725, -1.172747]"
1056311007_52319e8695_1127_9729483@N02.jpg,9729483@N02,19.633291,-155.98991,2,12,53,0.0225441505112327,0.0031170234821722,0.9743386312405952,"[23.001547, 120.160989]","[38.184, -122.272167]","[-36.932716, 174.575363]","[37.781062, -122.505165]","[24.478712, 118.096504]","[37.397539, -6.007504]","[48.843339, 2.384705]","[52.377219, 4.900527]","[47.458258, 8.744083]","[41.898931, 12.47298]","[41.73651, -7.470434]","[43.666, -72.466003]","[33.739802, -118.30121]","[60.162511, 24.953384]","[43.321181, -76.644744]","[57.70695, 11.939198]","[40.716666, -3.990667]","[31.247709, 121.472618]","[12.579695, 99.952926]","[51.573302, -0.76754]","[23.001547, 120.160989]","[38.184, -122.272167]","[-36.932716, 174.575363]","[37.781062, -122.505165]","[24.478712, 118.096504]","[37.397539, -6.007504]","[48.843339, 2.384705]","[52.377219, 4.900527]","[47.458258, 8.744083]","[41.898931, 12.47298]","[41.73651, -7.470434]","[43.666, -72.466003]","[33.739802, -118.30121]","[60.162511, 24.953384]","[43.321181, -76.644744]","[57.70695, 11.939198]","[40.716666, -3.990667]","[31.247709, 121.472618]","[12.579695, 99.952926]","[51.573302, -0.76754]"
1056987156_2fb85c8d9d_1152_9729483@N02.jpg,9729483@N02,19.782928,-156.036463,1,6,48,0.000191514390643,0.982067285739456,0.0177411521617534,"[42.454272, -88.225407]","[35.713666, 139.797]","[32.543355, -117.124598]","[40.074196, 116.314487]","[51.727473, 7.102714]","[45.683742, 5.073001]","[43.296464, 5.368446]","[51.584943, 10.614027]","[36.692992, -121.914253]","[53.133052, -8.460418]","[42.878731, -79.256401]","[46.085316, 11.840686]","[38.60577, -90.263628]","[41.411203, 14.87935]","[31.917089, -104.864115]","[51.535032, -0.121965]","[-23.552556, -46.678504]","[40.764906, -73.97426]","[47.550254, 19.053297]","[-18.24209, -69.054565]","[42.454272, -88.225407]","[35.713666, 139.797]","[32.543355, -117.124598]","[40.074196, 116.314487]","[51.727473, 7.102714]","[45.683742, 5.073001]","[43.296464, 5.368446]","[51.584943, 10.614027]","[36.692992, -121.914253]","[53.133052, -8.460418]","[42.878731, -79.256401]","[46.085316, 11.840686]","[38.60577, -90.263628]","[41.411203, 14.87935]","[31.917089, -104.864115]","[51.535032, -0.121965]","[-23.552556, -46.678504]","[40.764906, -73.97426]","[47.550254, 19.053297]","[-18.24209, -69.054565]"
1058450330_29b27f18cc_1304_52057668@N00.jpg,52057668@N00,48.858842,2.329101,2,10,218,0.0004586159500608,0.1109628264383957,0.8885786170870063,"[35.641201, 139.695811]","[1.294114, 103.86444]","[30.748714, 76.785576]","[44.010225, 4.415473]","[40.796611, -73.960862]","[-22.736191, -67.79717]","[42.640935, -74.015021]","[49.837207, -97.199649]","[37.998428, -5.648603]","[42.447512, -76.503982]","[-1.485047, 35.017547]","[49.453403, 11.073167]","[37.887995, -4.788665]","[38.839473, -77.038686]","[-24.290573, 28.098907]","[44.107725, 9.725475]","[52.318202, 21.006256]","[40.351311, -94.864861]","[53.062352, -1.387646]","[48.856918, 2.341209]","[35.641201, 139.695811]","[1.294114, 103.86444]","[30.748714, 76.785576]","[44.010225, 4.415473]","[40.796611, -73.960862]","[-22.736191, -67.79717]","[42.640935, -74.015021]","[49.837207, -97.199649]","[37.998428, -5.648603]","[42.447512, -76.503982]","[-1.485047, 35.017547]","[49.453403, 11.073167]","[37.887995, -4.788665]","[38.839473, -77.038686]","[-24.290573, 28.098907]","[44.107725, 9.725475]","[52.318202, 21.006256]","[40.351311, -94.864861]","[53.062352, -1.387646]","[48.856918, 2.341209]"
1061820145_989476e8d1_1056_17351226@N00.jpg,17351226@N00,-0.331476,36.074466,1,8,359,2.903068835803657e-05,0.9269241419263556,0.073046816591224,"[37.79454, -122.407356]","[28.411974, -81.58621]","[42.028463, 2.772567]","[41.938336, -87.644119]","[16.516909, -88.365268]","[43.716166, -79.349334]","[33.130579, 35.785474]","[52.141947, 13.594722]","[45.4235, -75.695834]","[39.743362, 22.861862]","[32.726353, 35.573043]","[45.53159, -122.697683]","[41.676437, 14.335141]","[39.065794, -79.301628]","[43.667902, -79.353518]","[52.382777, 4.896039]","[56.54387, -4.48019]","[47.55278, 10.275778]","[51.512161, -0.126342]","[36.150212, -81.154804]","[37.79454, -122.407356]","[28.411974, -81.58621]","[42.028463, 2.772567]","[41.938336, -87.644119]","[16.516909, -88.365268]","[43.716166, -79.349334]","[33.130579, 35.785474]","[52.141947, 13.594722]","[45.4235, -75.695834]","[39.743362, 22.861862]","[32.726353, 35.573043]","[45.53159, -122.697683]","[41.676437, 14.335141]","[39.065794, -79.301628]","[43.667902, -79.353518]","[52.382777, 4.896039]","[56.54387, -4.48019]","[47.55278, 10.275778]","[51.512161, -0.126342]","[36.150212, -81.154804]"
1064247804_21a7ce7392_1272_73293249@N00.jpg,73293249@N00,52.506442,13.337682,2,14,201,0.01435053571881,0.2245409793139288,0.7611084908888301,"[38.200164, 15.550847]","[30.320666, -97.773667]","[30.426551, -91.186201]","[-42.85319, 147.301104]","[39.388978, 24.163913]","[51.362128, 8.295729]","[37.789666, -122.388333]","[47.477274, 19.062223]","[53.807949, 21.163787]","[48.141721, 11.582014]","[45.940384, 13.619484]","[52.506609, -1.87952]","[33.986981, -118.469009]","[37.389799, -6.009521]","[47.617822, 1.514825]","[34.747158, -92.262734]","[41.907335, 12.455583]","[52.258941, 10.543988]","[44.051473, 9.835885]","[48.880874, 2.383158]","[38.200164, 15.550847]","[30.320666, -97.773667]","[30.426551, -91.186201]","[-42.85319, 147.301104]","[39.388978, 24.163913]","[51.362128, 8.295729]","[37.789666, -122.388333]","[47.477274, 19.062223]","[53.807949, 21.163787]","[48.141721, 11.582014]","[45.940384, 13.619484]","[52.506609, -1.87952]","[33.986981, -118.469009]","[37.389799, -6.009521]","[47.617822, 1.514825]","[34.747158, -92.262734]","[41.907335, 12.455583]","[52.258941, 10.543988]","[44.051473, 9.835885]","[48.880874, 2.383158]"
1065427105_186af84f48_1367_70323761@N00.jpg,70323761@N00,41.935064,-74.018674,2,11,242,0.0021210333204351,0.0686846651892096,0.9291943267926968,"[38.57434, -8.948353]","[-23.636346, 132.744712]","[34.756352, 135.575385]","[37.785666, -122.416001]","[32.781646, -117.254601]","[3.216666, 101.588166]","[38.888765, -77.024997]","[40.713731, -74.017124]","[49.404962, 11.348716]","[23.048933, -109.689731]","[28.545774, -16.206035]","[-34.538237, 138.99353]","[51.791, -1.494]","[43.269128, -2.9337]","[39.333071, -120.238037]","[52.244619, 20.983886]","[33.50988, -86.81037]","[50.942718, 6.978253]","[45.699705, 13.716945]","[40.764075, -73.978632]","[38.57434, -8.948353]","[-23.636346, 132.744712]","[34.756352, 135.575385]","[37.785666, -122.416001]","[32.781646, -117.254601]","[3.216666, 101.588166]","[38.888765, -77.024997]","[40.713731, -74.017124]","[49.404962, 11.348716]","[23.048933, -109.689731]","[28.545774, -16.206035]","[-34.538237, 138.99353]","[51.791, -1.494]","[43.269128, -2.9337]","[39.333071, -120.238037]","[52.244619, 20.983886]","[33.50988, -86.81037]","[50.942718, 6.978253]","[45.699705, 13.716945]","[40.764075, -73.978632]"
1066619342_4f62e58221_1239_70323761@N00.jpg,70323761@N00,41.933021,-74.019286,2,11,86,4.495417876234152e-08,5.499218766791245e-07,0.999999277435205,"[51.355333, -0.463833]","[37.150773, -8.146104]","[35.775166, -78.637666]","[46.801166, 9.830666]","[38.785401, -9.076766]","[39.007391, -94.53289]","[39.716372, 140.128411]","[25.13681, 121.71991]","[53.337433, -6.278686]","[41.676355, -86.250725]","[55.873631, -4.286706]","[52.50509, 13.334977]","[-42.426497, -73.303012]","[70.185668, 30.328569]","[47.499024, 19.038512]","[50.402112, 7.252409]","[52.999389, -1.138072]","[39.231122, -104.900379]","[48.556244, -122.896413]","[42.209765, -8.780221]","[51.355333, -0.463833]","[37.150773, -8.146104]","[35.775166, -78.637666]","[46.801166, 9.830666]","[38.785401, -9.076766]","[39.007391, -94.53289]","[39.716372, 140.128411]","[25.13681, 121.71991]","[53.337433, -6.278686]","[41.676355, -86.250725]","[55.873631, -4.286706]","[52.50509, 13.334977]","[-42.426497, -73.303012]","[70.185668, 30.328569]","[47.499024, 19.038512]","[50.402112, 7.252409]","[52.999389, -1.138072]","[39.231122, -104.900379]","[48.556244, -122.896413]","[42.209765, -8.780221]"
1070752568_b1ed6014e4_1333_93455345@N00.jpg,93455345@N00,50.252912,19.025573,0,4,219,0.9999639777398108,5.223408061149487e-06,3.078257247113303e-05,"[32.177192, -104.441217]","[45.86436, 9.671979]","[49.261665, -123.241501]","[57.340312, -2.183457]","[37.859201, -122.479534]","[-33.228636, 22.026214]","[55.156666, -1.543834]","[45.839668, 6.209796]","[39.305, -123.795167]","[52.830211, 0.508409]","[41.031767, 28.949543]","[39.830002, -98.580002]","[67.861244, 20.20523]","[32.320213, 35.908126]","[39.3075, -76.616112]","[41.592915, 1.836819]","[60.169023, 24.940617]","[42.567909, -70.76192]","[18.341246, -64.941043]","[34.05417, -118.253617]","[32.177192, -104.441217]","[45.86436, 9.671979]","[49.261665, -123.241501]","[57.340312, -2.183457]","[37.859201, -122.479534]","[-33.228636, 22.026214]","[55.156666, -1.543834]","[45.839668, 6.209796]","[39.305, -123.795167]","[52.830211, 0.508409]","[41.031767, 28.949543]","[39.830002, -98.580002]","[67.861244, 20.20523]","[32.320213, 35.908126]","[39.3075, -76.616112]","[41.592915, 1.836819]","[60.169023, 24.940617]","[42.567909, -70.76192]","[18.341246, -64.941043]","[34.05417, -118.253617]"
1070839510_05f6cf6ef2_1162_93455345@N00.jpg,93455345@N00,50.260814,18.846359,0,2,281,0.9998238456208616,1.1582611178617697e-05,0.0001645127898968,"[51.00776, -1.082925]","[30.813144, -85.230453]","[52.36576, 4.892606]","[51.383051, -2.357854]","[41.9962, -2.848181]","[48.01074, 7.81557]","[33.880445, -117.434256]","[39.457137, -0.394649]","[34.836068, 134.687232]","[39.356811, -77.064872]","[55.46776, 10.6795]","[34.497714, -80.27328]","[18.948992, 72.834205]","[33.810331, -117.918958]","[39.811807, -75.067509]","[53.900292, 27.547531]","[40.43055, -109.333963]","[39.797886, -84.028136]","[48.863613, 2.313544]","[27.988489, 34.431324]","[51.00776, -1.082925]","[30.813144, -85.230453]","[52.36576, 4.892606]","[51.383051, -2.357854]","[41.9962, -2.848181]","[48.01074, 7.81557]","[33.880445, -117.434256]","[39.457137, -0.394649]","[34.836068, 134.687232]","[39.356811, -77.064872]","[55.46776, 10.6795]","[34.497714, -80.27328]","[18.948992, 72.834205]","[33.810331, -117.918958]","[39.811807, -75.067509]","[53.900292, 27.547531]","[40.43055, -109.333963]","[39.797886, -84.028136]","[48.863613, 2.313544]","[27.988489, 34.431324]"
1070873718_eab41ad951_1427_93455345@N00.jpg,93455345@N00,50.260814,18.846359,2,12,24,0.0019882067902738,0.0011961643401274,0.9968157106360612,"[40.688563, -74.04142]","[46.099096, 18.22016]","[37.875734, -119.498462]","[17.969344, 102.611463]","[50.776744, -128.412837]","[40.600666, -76.438666]","[48.148679, 11.56723]","[48.584272, 7.747099]","[-24.225551, 28.65749]","[51.354573, 1.44305]","[44.375895, -110.583572]","[-7.150311, -34.80091]","[45.070702, 6.69725]","[41.893519, 12.486981]","[41.019606, 28.9894]","[51.501877, 0.005027]","[37.724123, -122.476969]","[-37.817531, 144.967147]","[15.515882, -61.276931]","[52.373241, 5.193099]","[40.688563, -74.04142]","[46.099096, 18.22016]","[37.875734, -119.498462]","[17.969344, 102.611463]","[50.776744, -128.412837]","[40.600666, -76.438666]","[48.148679, 11.56723]","[48.584272, 7.747099]","[-24.225551, 28.65749]","[51.354573, 1.44305]","[44.375895, -110.583572]","[-7.150311, -34.80091]","[45.070702, 6.69725]","[41.893519, 12.486981]","[41.019606, 28.9894]","[51.501877, 0.005027]","[37.724123, -122.476969]","[-37.817531, 144.967147]","[15.515882, -61.276931]","[52.373241, 5.193099]"
107184433_0e6c4969c5_35_96388182@N00.jpg,96388182@N00,43.676314,-92.963894,0,5,236,0.9921862671041026,0.0003796363391934,0.0074341031735265,"[40.389833, -80.090167]","[37.76964, -122.43031]","[40.64434, -73.965196]","[41.917364, -87.707088]","[50.866753, -0.744924]","[44.702611, 14.882822]","[54.575444, 13.14454]","[52.523036, 13.41701]","[46.179949, 8.741855]","[57.48121, -4.22832]","[37.80066, -122.438343]","[37.887724, -4.784202]","[41.002918, 28.975313]","[-36.867952, 174.829119]","[44.051197, -123.070358]","[31.629628, -7.986389]","[9.901469, -84.120855]","[51.644481, 7.482848]","[34.100494, -118.336097]","[42.906957, -73.582069]","[40.389833, -80.090167]","[37.76964, -122.43031]","[40.64434, -73.965196]","[41.917364, -87.707088]","[50.866753, -0.744924]","[44.702611, 14.882822]","[54.575444, 13.14454]","[52.523036, 13.41701]","[46.179949, 8.741855]","[57.48121, -4.22832]","[37.80066, -122.438343]","[37.887724, -4.784202]","[41.002918, 28.975313]","[-36.867952, 174.829119]","[44.051197, -123.070358]","[31.629628, -7.986389]","[9.901469, -84.120855]","[51.644481, 7.482848]","[34.100494, -118.336097]","[42.906957, -73.582069]"
1076964851_c20355b981_1431_93455345@N00.jpg,93455345@N00,43.137069,131.929321,2,15,178,0.0340634081619555,0.1013298794205184,0.8646068131929496,"[51.403489, -0.342636]","[-28.159643, 30.481567]","[50.260663, 5.456128]","[44.411075, 8.933188]","[52.202234, 0.115066]","[-19.258635, 146.805013]","[27.95849, -82.540755]","[34.14597, -118.147873]","[40.733043, -74.006718]","[45.505252, -73.552147]","[10.83221, -60.99266]","[60.220772, 25.019141]","[55.51615, 35.824699]","[49.019848, 12.092674]","[48.806311, 2.106714]","[53.387231, -1.484184]","[-50.477171, -73.028182]","[29.954036, -90.071281]","[-35.261833, 138.4595]","[45.5246, -122.684196]","[51.403489, -0.342636]","[-28.159643, 30.481567]","[50.260663, 5.456128]","[44.411075, 8.933188]","[52.202234, 0.115066]","[-19.258635, 146.805013]","[27.95849, -82.540755]","[34.14597, -118.147873]","[40.733043, -74.006718]","[45.505252, -73.552147]","[10.83221, -60.99266]","[60.220772, 25.019141]","[55.51615, 35.824699]","[49.019848, 12.092674]","[48.806311, 2.106714]","[53.387231, -1.484184]","[-50.477171, -73.028182]","[29.954036, -90.071281]","[-35.261833, 138.4595]","[45.5246, -122.684196]"
1076986527_4de9d086bc_1124_93455345@N00.jpg,93455345@N00,43.137069,131.929321,2,14,201,0.0707678169826522,0.3147503383661387,0.6144818956363451,"[-19.971701, -43.968036]","[32.259283, -110.954779]","[46.189962, 6.465711]","[55.685036, 37.484965]","[-33.916725, 18.403644]","[-37.806707, 144.966177]","[46.715562, 20.187463]","[38.916172, -77.023933]","[36.595684, -121.886444]","[49.07513, 1.530532]","[14.096621, 99.456481]","[-23.994603, -46.307115]","[39.530327, -119.816851]","[-6.895834, 107.693333]","[45.510001, 6.705737]","[37.412666, -76.521334]","[20.604908, -103.455805]","[42.545795, -6.602677]","[33.931966, -115.886535]","[53.872722, -1.591043]","[-19.971701, -43.968036]","[32.259283, -110.954779]","[46.189962, 6.465711]","[55.685036, 37.484965]","[-33.916725, 18.403644]","[-37.806707, 144.966177]","[46.715562, 20.187463]","[38.916172, -77.023933]","[36.595684, -121.886444]","[49.07513, 1.530532]","[14.096621, 99.456481]","[-23.994603, -46.307115]","[39.530327, -119.816851]","[-6.895834, 107.693333]","[45.510001, 6.705737]","[37.412666, -76.521334]","[20.604908, -103.455805]","[42.545795, -6.602677]","[33.931966, -115.886535]","[53.872722, -1.591043]"
1077074655_69c5dba648_1048_93455345@N00.jpg,93455345@N00,52.045734,113.411865,2,11,226,0.0462024355082917,0.0494231469055534,0.9043743334342764,"[43.263456, -2.935409]","[47.617862, -122.32668]","[-15.761857, 29.196166]","[52.309055, 4.774503]","[34.393391, 139.266158]","[42.521347, -70.898938]","[37.878973, -4.777872]","[-43.5, 170.08]","[40.420727, -3.711214]","[48.131775, 11.576092]","[48.850095, 2.329949]","[-22.988106, -43.193778]","[21.312067, -157.863218]","[41.400155, -81.767774]","[47.480799, 19.060957]","[37.824, -122.527834]","[34.039893, -118.269238]","[38.914444, -77.251739]","[35.515181, 27.195968]","[37.218299, -80.410609]","[43.263456, -2.935409]","[47.617862, -122.32668]","[-15.761857, 29.196166]","[52.309055, 4.774503]","[34.393391, 139.266158]","[42.521347, -70.898938]","[37.878973, -4.777872]","[-43.5, 170.08]","[40.420727, -3.711214]","[48.131775, 11.576092]","[48.850095, 2.329949]","[-22.988106, -43.193778]","[21.312067, -157.863218]","[41.400155, -81.767774]","[47.480799, 19.060957]","[37.824, -122.527834]","[34.039893, -118.269238]","[38.914444, -77.251739]","[35.515181, 27.195968]","[37.218299, -80.410609]"
1077086393_e1aea6d21e_1090_93455345@N00.jpg,93455345@N00,52.32191,104.227294,2,10,174,0.0183138179051383,0.0699341160415656,0.9117521519156072,"[35.690983, 139.695555]","[37.811246, -122.410869]","[37.789, -122.402167]","[51.062527, -1.315902]","[45.357935, 5.914678]","[46.987813, -122.524809]","[47.751708, 7.343649]","[36.884495, 30.702967]","[33.62148, -112.181997]","[40.583722, -74.614602]","[43.074675, -89.3894]","[36.607707, -4.506154]","[41.884643, -87.665834]","[35.69979, 139.430953]","[45.193893, 5.664139]","[40.20766, 26.280326]","[37.435654, -122.055337]","[35.573116, -97.628584]","[-36.962511, -72.989044]","[44.40607, 33.997535]","[35.690983, 139.695555]","[37.811246, -122.410869]","[37.789, -122.402167]","[51.062527, -1.315902]","[45.357935, 5.914678]","[46.987813, -122.524809]","[47.751708, 7.343649]","[36.884495, 30.702967]","[33.62148, -112.181997]","[40.583722, -74.614602]","[43.074675, -89.3894]","[36.607707, -4.506154]","[41.884643, -87.665834]","[35.69979, 139.430953]","[45.193893, 5.664139]","[40.20766, 26.280326]","[37.435654, -122.055337]","[35.573116, -97.628584]","[-36.962511, -72.989044]","[44.40607, 33.997535]"
1077155473_80c037f16a_1120_93455345@N00.jpg,93455345@N00,51.733832,39.25415,2,10,175,0.0025217401392279,0.2118768088174079,0.7856015386192468,"[40.758286, -73.986837]","[44.34222, 11.206526]","[42.357275, -71.063003]","[42.176708, -83.482734]","[-16.906398, 145.741882]","[49.409521, 20.41603]","[45.434264, 12.338998]","[40.784116, -73.977153]","[45.431075, 12.334728]","[6.426615, 99.669857]","[36.131986, -80.277995]","[37.7585, -122.426834]","[24.979333, 121.544333]","[43.507756, 16.438486]","[40.44039, -79.989652]","[37.054526, -122.070722]","[51.507487, -0.099735]","[50.081819, 14.429168]","[44.433902, 26.119565]","[43.608, 3.879666]","[40.758286, -73.986837]","[44.34222, 11.206526]","[42.357275, -71.063003]","[42.176708, -83.482734]","[-16.906398, 145.741882]","[49.409521, 20.41603]","[45.434264, 12.338998]","[40.784116, -73.977153]","[45.431075, 12.334728]","[6.426615, 99.669857]","[36.131986, -80.277995]","[37.7585, -122.426834]","[24.979333, 121.544333]","[43.507756, 16.438486]","[40.44039, -79.989652]","[37.054526, -122.070722]","[51.507487, -0.099735]","[50.081819, 14.429168]","[44.433902, 26.119565]","[43.608, 3.879666]"
107717568_95f67ce436_37_17351226@N00.jpg,17351226@N00,59.929043,30.313854,2,11,108,0.0026758604321415,0.0072382938701167,0.9900858661415411,"[40.707429, -73.998713]","[48.011171, 2.750766]","[51.07689, 3.724107]","[28.372805, -16.768044]","[55.676713, 12.5778]","[42.559999, -114.440667]","[55.863138, -4.243348]","[48.865666, 2.348333]","[45.810794, 15.975837]","[51.471493, -0.488333]","[35.738043, 51.379284]","[42.285024, -83.747781]","[-37.759819, 144.757148]","[51.112905, 17.045803]","[48.8704, 2.334]","[48.889425, 2.336826]","[40.983008, -1.458435]","[-34.572486, -58.417439]","[31.242012, 121.472396]","[-33.844185, 151.280622]","[40.707429, -73.998713]","[48.011171, 2.750766]","[51.07689, 3.724107]","[28.372805, -16.768044]","[55.676713, 12.5778]","[42.559999, -114.440667]","[55.863138, -4.243348]","[48.865666, 2.348333]","[45.810794, 15.975837]","[51.471493, -0.488333]","[35.738043, 51.379284]","[42.285024, -83.747781]","[-37.759819, 144.757148]","[51.112905, 17.045803]","[48.8704, 2.334]","[48.889425, 2.336826]","[40.983008, -1.458435]","[-34.572486, -58.417439]","[31.242012, 121.472396]","[-33.844185, 151.280622]"
1077208489_d307c44d40_1355_93455345@N00.jpg,93455345@N00,43.137069,131.929321,2,12,273,0.0040401736539479,0.1097897278021946,0.8861701573957816,"[46.384714, 12.052688]","[0.825061, -77.635746]","[41.388054, 2.169869]","[51.51886, -0.126221]","[33.825649, -111.904356]","[52.129826, 6.874351]","[42.232266, 2.165808]","[40.602687, 0.437393]","[45.464105, 9.191019]","[50.260663, 5.456128]","[56.375719, -2.875971]","[52.12922, -119.826622]","[34.072106, -118.360519]","[40.73421, -73.992565]","[52.62736, -2.485445]","[38.449085, 27.171678]","[25.041066, 121.543761]","[37.394164, -6.020507]","[47.62023, -122.348556]","[55.899956, -4.30664]","[46.384714, 12.052688]","[0.825061, -77.635746]","[41.388054, 2.169869]","[51.51886, -0.126221]","[33.825649, -111.904356]","[52.129826, 6.874351]","[42.232266, 2.165808]","[40.602687, 0.437393]","[45.464105, 9.191019]","[50.260663, 5.456128]","[56.375719, -2.875971]","[52.12922, -119.826622]","[34.072106, -118.360519]","[40.73421, -73.992565]","[52.62736, -2.485445]","[38.449085, 27.171678]","[25.041066, 121.543761]","[37.394164, -6.020507]","[47.62023, -122.348556]","[55.899956, -4.30664]"
